"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1501","should navigate to flag detail from list","chromium","Fri Jul 10 06:06:35 UTC 2026","passed","Fri Jul 10 06:06:37 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","1210","should filter by entity type","mobile-chrome","Fri Jul 10 06:05:59 UTC 2026","passed","Fri Jul 10 06:06:00 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","901","should delete flag from list","mobile-chrome","Fri Jul 10 06:06:12 UTC 2026","passed","Fri Jul 10 06:06:13 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","1357","should delete rule from list","chromium","Fri Jul 10 06:06:39 UTC 2026","passed","Fri Jul 10 06:06:40 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","780","should allow access to login page","chromium","Fri Jul 10 06:06:33 UTC 2026","passed","Fri Jul 10 06:06:34 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","523","should display all form fields","mobile-chrome","Fri Jul 10 06:06:03 UTC 2026","passed","Fri Jul 10 06:06:04 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","673","should redirect unauthenticated user from protected route to login","mobile-chrome","Fri Jul 10 06:06:18 UTC 2026","passed","Fri Jul 10 06:06:19 UTC 2026","Auth redirects","auth/redirect.spec.ts","",""
"","1235","should show tab controls","chromium","Fri Jul 10 06:06:18 UTC 2026","passed","Fri Jul 10 06:06:19 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","451","should display user list","mobile-chrome","Fri Jul 10 06:06:16 UTC 2026","passed","Fri Jul 10 06:06:16 UTC 2026","User management","admin/user-management.spec.ts","",""
"","1436","should display correct table columns","chromium","Fri Jul 10 06:06:23 UTC 2026","passed","Fri Jul 10 06:06:25 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","1826","should toggle user status","chromium","Fri Jul 10 06:06:41 UTC 2026","passed","Fri Jul 10 06:06:43 UTC 2026","User management","admin/user-management.spec.ts","",""
"","943","should display registration form elements","mobile-chrome","Fri Jul 10 06:06:19 UTC 2026","passed","Fri Jul 10 06:06:20 UTC 2026","Register page","auth/register.spec.ts","",""
"","1495","should display login form elements","chromium","Fri Jul 10 06:06:25 UTC 2026","passed","Fri Jul 10 06:06:26 UTC 2026","Login page","auth/login.spec.ts","",""
"","1343","should show filter controls","mobile-chrome","Fri Jul 10 06:05:56 UTC 2026","passed","Fri Jul 10 06:05:57 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","1509","should display Google sign-in button on register page","mobile-chrome","Fri Jul 10 06:06:07 UTC 2026","passed","Fri Jul 10 06:06:09 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","1782","should update rollout percentage","mobile-chrome","Fri Jul 10 06:06:04 UTC 2026","passed","Fri Jul 10 06:06:06 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","1263","should update flag details","chromium","Fri Jul 10 06:06:36 UTC 2026","passed","Fri Jul 10 06:06:37 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","3468","should complete login with valid TOTP code after 2FA redirect","chromium","Fri Jul 10 06:06:44 UTC 2026","passed","Fri Jul 10 06:06:47 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","3229","authenticate as admin user","auth-setup","Fri Jul 10 06:06:14 UTC 2026","passed","Fri Jul 10 06:06:17 UTC 2026","","../src/auth/auth.setup.ts","",""
"","875","should stay on root URL (no locale prefix)","chromium","Fri Jul 10 06:06:55 UTC 2026","passed","Fri Jul 10 06:06:56 UTC 2026","Home page","smoke/home.spec.ts","",""
"","802","should display all flag details on edit page","mobile-chrome","Fri Jul 10 06:06:04 UTC 2026","passed","Fri Jul 10 06:06:04 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","2008","should create flag with minimum required fields only","chromium","Fri Jul 10 06:06:28 UTC 2026","passed","Fri Jul 10 06:06:30 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","3408","should not allow access to protected pages without completing 2FA","mobile-chrome","Fri Jul 10 06:06:32 UTC 2026","passed","Fri Jul 10 06:06:35 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","1668","should have link back to login page and navigate to it","mobile-chrome","Fri Jul 10 06:06:07 UTC 2026","passed","Fri Jul 10 06:06:09 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","1879","should update flag name and verify persistence","mobile-chrome","Fri Jul 10 06:06:05 UTC 2026","passed","Fri Jul 10 06:06:06 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","538","should show pagination when many rules exist","mobile-chrome","Fri Jul 10 06:06:16 UTC 2026","passed","Fri Jul 10 06:06:16 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","3356","should show 2FA status after enabling","mobile-chrome","Fri Jul 10 06:06:35 UTC 2026","passed","Fri Jul 10 06:06:38 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","759","should display notifications page heading","mobile-chrome","Fri Jul 10 06:06:37 UTC 2026","passed","Fri Jul 10 06:06:38 UTC 2026","Notification center","notifications/notification-center.spec.ts","",""
"","730","should show success state even for non-existent email (enumeration prevention)","mobile-chrome","Fri Jul 10 06:06:21 UTC 2026","passed","Fri Jul 10 06:06:22 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","1868","should show validation error for invalid email format","chromium","Fri Jul 10 06:06:22 UTC 2026","passed","Fri Jul 10 06:06:24 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","803","should show preference switches","chromium","Fri Jul 10 06:06:55 UTC 2026","passed","Fri Jul 10 06:06:56 UTC 2026","Notification preferences","notifications/notification-preferences.spec.ts","",""
"","690","should display user list","chromium","Fri Jul 10 06:06:39 UTC 2026","passed","Fri Jul 10 06:06:40 UTC 2026","User management","admin/user-management.spec.ts","",""
"","1980","should show validation error for invalid email format","mobile-chrome","Fri Jul 10 06:06:08 UTC 2026","passed","Fri Jul 10 06:06:10 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","2155","should reset filters","chromium","Fri Jul 10 06:06:24 UTC 2026","passed","Fri Jul 10 06:06:26 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","1620","should switch to stats tab","mobile-chrome","Fri Jul 10 06:05:54 UTC 2026","passed","Fri Jul 10 06:05:56 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","1022","should display notifications page heading","chromium","Fri Jul 10 06:06:52 UTC 2026","passed","Fri Jul 10 06:06:53 UTC 2026","Notification center","notifications/notification-center.spec.ts","",""
"","1691","should update user profile","chromium","Fri Jul 10 06:06:40 UTC 2026","passed","Fri Jul 10 06:06:42 UTC 2026","User management","admin/user-management.spec.ts","",""
"","718","should create flag with minimum required fields only","mobile-chrome","Fri Jul 10 06:06:02 UTC 2026","passed","Fri Jul 10 06:06:03 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","974","should update user profile","mobile-chrome","Fri Jul 10 06:06:16 UTC 2026","passed","Fri Jul 10 06:06:17 UTC 2026","User management","admin/user-management.spec.ts","",""
"","579","should display forgot password form elements","mobile-chrome","Fri Jul 10 06:06:20 UTC 2026","passed","Fri Jul 10 06:06:20 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","2489","should update description and verify persistence","chromium","Fri Jul 10 06:06:31 UTC 2026","passed","Fri Jul 10 06:06:34 UTC 2026","Feature flag detail/edit","admin/feature-flags-detail.spec.ts","",""
"","1256","should have audit log link on feature flag detail page","mobile-chrome","Fri Jul 10 06:06:47 UTC 2026","passed","Fri Jul 10 06:06:48 UTC 2026","Feature flag audit log (centralized)","admin/feature-flags-audit.spec.ts","",""
"","686","should create flag with all fields filled","mobile-chrome","Fri Jul 10 06:06:02 UTC 2026","passed","Fri Jul 10 06:06:02 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","6278","should complete full password reset flow (forgot -> email -> reset -> login)","chromium","Fri Jul 10 06:06:27 UTC 2026","passed","Fri Jul 10 06:06:33 UTC 2026","Password reset flow (E2E)","auth/password-reset-flow.spec.ts","",""
"","739","should show validation errors for empty form","chromium","Fri Jul 10 06:06:35 UTC 2026","passed","Fri Jul 10 06:06:36 UTC 2026","Register page","auth/register.spec.ts","",""
"","1748","should export CSV","mobile-chrome","Fri Jul 10 06:05:56 UTC 2026","passed","Fri Jul 10 06:05:58 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","1359","should display Google sign-in button on login page","mobile-chrome","Fri Jul 10 06:06:08 UTC 2026","passed","Fri Jul 10 06:06:10 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","985","should display create rule form elements","chromium","Fri Jul 10 06:06:37 UTC 2026","passed","Fri Jul 10 06:06:38 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1303","should switch to broadcast tab","chromium","Fri Jul 10 06:06:18 UTC 2026","passed","Fri Jul 10 06:06:19 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","1406","should show error for invalid token on submit","chromium","Fri Jul 10 06:06:38 UTC 2026","passed","Fri Jul 10 06:06:39 UTC 2026","Reset password page","auth/reset-password.spec.ts","",""
"","732","should show validation error for invalid key format","mobile-chrome","Fri Jul 10 06:06:02 UTC 2026","passed","Fri Jul 10 06:06:03 UTC 2026","Feature flag creation","admin/feature-flags-create.spec.ts","",""
"","1712","should filter by action","chromium","Fri Jul 10 06:06:19 UTC 2026","passed","Fri Jul 10 06:06:21 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","3409","should reject invalid TOTP code during setup","chromium","Fri Jul 10 06:06:51 UTC 2026","passed","Fri Jul 10 06:06:54 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","1498","should show pagination controls when multiple pages","chromium","Fri Jul 10 06:06:23 UTC 2026","passed","Fri Jul 10 06:06:25 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","1670","should have audit log link on feature flag detail page","chromium","Fri Jul 10 06:06:25 UTC 2026","passed","Fri Jul 10 06:06:27 UTC 2026","Feature flag audit log (centralized)","admin/feature-flags-audit.spec.ts","",""
"","1724","should display overrides section on detail page","chromium","Fri Jul 10 06:06:30 UTC 2026","passed","Fri Jul 10 06:06:31 UTC 2026","Feature flag overrides","admin/feature-flags-overrides.spec.ts","",""
"","744","should toggle rule from list","mobile-chrome","Fri Jul 10 06:06:14 UTC 2026","passed","Fri Jul 10 06:06:15 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","814","should display the main heading","mobile-chrome","Fri Jul 10 06:06:39 UTC 2026","passed","Fri Jul 10 06:06:39 UTC 2026","Home page","smoke/home.spec.ts","",""
"","1459","should filter by action","mobile-chrome","Fri Jul 10 06:05:56 UTC 2026","passed","Fri Jul 10 06:05:57 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
"","1338","should have Google button as type=button (not submit)","chromium","Fri Jul 10 06:06:24 UTC 2026","passed","Fri Jul 10 06:06:25 UTC 2026","Google OAuth","auth/google-oauth.spec.ts","",""
"","4440","should show enable button after successfully disabling 2FA","mobile-chrome","Fri Jul 10 06:06:24 UTC 2026","passed","Fri Jul 10 06:06:29 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","661","should toggle flag from list","mobile-chrome","Fri Jul 10 06:06:11 UTC 2026","passed","Fri Jul 10 06:06:12 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","3685","should show error with expired TOTP code format","chromium","Fri Jul 10 06:06:47 UTC 2026","passed","Fri Jul 10 06:06:51 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","771","should display Ukrainian content by default","chromium","Fri Jul 10 06:06:55 UTC 2026","passed","Fri Jul 10 06:06:56 UTC 2026","Home page","smoke/home.spec.ts","",""
"","1131","should show success state after submitting valid email","mobile-chrome","Fri Jul 10 06:06:21 UTC 2026","passed","Fri Jul 10 06:06:22 UTC 2026","Forgot password page","auth/forgot-password.spec.ts","",""
"","484","should display rate limits list","mobile-chrome","Fri Jul 10 06:06:13 UTC 2026","passed","Fri Jul 10 06:06:14 UTC 2026","Rate limit management","admin/rate-limits.spec.ts","",""
"","1809","should change user tier","chromium","Fri Jul 10 06:06:43 UTC 2026","passed","Fri Jul 10 06:06:45 UTC 2026","User management","admin/user-management.spec.ts","",""
"","751","should display create flag form elements","chromium","Fri Jul 10 06:06:34 UTC 2026","passed","Fri Jul 10 06:06:35 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","544","should show pagination when many flags exist","mobile-chrome","Fri Jul 10 06:06:13 UTC 2026","passed","Fri Jul 10 06:06:13 UTC 2026","Feature flag management","admin/feature-flags.spec.ts","",""
"","3407","should complete login with valid TOTP code after 2FA redirect","mobile-chrome","Fri Jul 10 06:06:28 UTC 2026","passed","Fri Jul 10 06:06:32 UTC 2026","TOTP 2FA login","auth/totp-login.spec.ts","",""
"","1469","should switch to broadcast tab","mobile-chrome","Fri Jul 10 06:05:54 UTC 2026","passed","Fri Jul 10 06:05:56 UTC 2026","Admin notifications","admin/admin-notifications.spec.ts","",""
"","801","should show read/unread filter buttons","chromium","Fri Jul 10 06:06:54 UTC 2026","passed","Fri Jul 10 06:06:55 UTC 2026","Notification center","notifications/notification-center.spec.ts","",""
"","3375","should complete 2FA setup with valid TOTP code","mobile-chrome","Fri Jul 10 06:06:35 UTC 2026","passed","Fri Jul 10 06:06:38 UTC 2026","TOTP 2FA setup","auth/totp-setup.spec.ts","",""
"","3842","should reject invalid TOTP code when disabling 2FA","chromium","Fri Jul 10 06:06:39 UTC 2026","passed","Fri Jul 10 06:06:43 UTC 2026","TOTP 2FA disable","auth/totp-disable.spec.ts","",""
"","1393","should display correct table columns","mobile-chrome","Fri Jul 10 06:05:58 UTC 2026","passed","Fri Jul 10 06:06:00 UTC 2026","Audit logs","admin/audit-logs.spec.ts","",""
